z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-8.4937500000e+01,-1.2966389362e-04,1.9521020530e-04,2.8253220116e+02,2.1636297279e-06,4.2707820131e-06,-2.0585512199e-10,-6.1271556189e-07,-2.8154473472e-09,-2.4864994500e-09,3.5196349673e-10,-1.0589810469e-09,2.7561453010e-09,-1.5593236980e-03,1.3727272727e+00
-8.5312500000e+01,-1.2688167993e-04,1.9460283470e-04,2.8252460857e+02,2.1710380316e-06,4.2479599061e-06,-2.0405109885e-10,-6.0966051990e-07,-2.8575146719e-09,-2.4573595968e-09,3.1700275817e-10,-1.0916757635e-09,2.7868539508e-09,-1.5593207932e-03,1.3787878788e+00
-8.5687500000e+01,-1.2404385939e-04,1.9084308419e-04,2.8251700885e+02,2.1697006316e-06,4.1995370112e-06,-2.0274213896e-10,-6.0689833296e-07,-2.8821879833e-09,-2.4523304726e-09,2.8182439260e-10,-1.1273118434e-09,2.7223803250e-09,-1.5593182889e-03,1.3848484848e+00
-8.6062500000e+01,-1.2191990176e-04,1.8391107843e-04,2.8250941988e+02,2.1615607697e-06,4.1272620583e-06,-2.0146937672e-10,-6.0445788804e-07,-2.8225397522e-09,-2.4182601616e-09,2.5486458238e-10,-1.1663920397e-09,2.5399835709e-09,-1.5593160500e-03,1.3909090909e+00
-8.6437500000e+01,-1.2005274905e-04,1.7463035237e-04,2.8250183039e+02,2.1463593349e-06,4.0377579745e-06,-1.9985379496e-10,-6.0211420502e-07,-2.8667424645e-09,-2.5433884617e-09,1.9764173149e-10,-1.1953851496e-09,2.2598298649e-09,-1.5593142554e-03,1.3969696970e+00
-8.6812500000e+01,-1.1891910112e-04,1.6338983101e-04,2.8249424482e+02,2.1268726984e-06,3.9418922731e-06,-1.9887808535e-10,-5.9970477063e-07,-2.8826160435e-09,-2.5675539046e-09,1.7084380543e-10,-1.2028305302e-09,1.9340788028e-09,-1.5593123744e-03,1.4030303030e+00
-8.7187500000e+01,-1.1875575996e-04,1.5153116098e-04,2.8248664648e+02,2.1054964335e-06,3.8479063090e-06,-1.9736191761e-10,-5.9718762921e-07,-2.9139943103e-09,-2.6345224398e-09,1.1583107824e-10,-1.1909153002e-09,1.5970242726e-09,-1.5593103370e-03,1.4090909091e+00
-8.7562500000e+01,-1.1952833289e-04,1.4067595924e-04,2.8247905962e+02,2.0814087854e-06,3.7640104882e-06,-1.9696825428e-10,-5.9456708820e-07,-2.9181239876e-09,-2.6893760419e-09,6.4963427053e-11,-1.1610347182e-09,1.2858873452e-09,-1.5593079782e-03,1.4151515152e+00
-8.7937500000e+01,-1.2210561953e-04,1.3065268449e-04,2.8247149070e+02,2.0590088928e-06,3.6954916857e-06,-1.9680497001e-10,-5.9205505678e-07,-2.8697313540e-09,-2.6351973930e-09,4.5415446688e-11,-1.1204115192e-09,1.0324655168e-09,-1.5593052985e-03,1.4212121212e+00
-8.8312500000e+01,-1.2573230097e-04,1.2235103208e-04,2.8246391356e+02,2.0398302610e-06,3.6486104238e-06,-1.9547521569e-10,-5.8961428161e-07,-2.9013866660e-09,-2.7332798046e-09,1.4090706094e-11,-1.0766008763e-09,8.4565170561e-10,-1.5593025378e-03,1.4272727273e+00
-8.8687500000e+01,-1.2992089043e-04,1.1522111543e-04,2.8245633474e+02,2.0217407145e-06,3.6250048230e-06,-1.9436094313e-10,-5.8716757050e-07,-2.8862256265e-09,-2.7576807397e-09,7.5686526916e-12,-1.0348540403e-09,7.1086424697e-10,-1.5592992841e-03,1.4333333333e+00
-8.9062500000e+01,-1.3525192085e-04,1.0963636265e-04,2.8244876834e+02,2.0067099065e-06,3.6208337386e-06,-1.9325304200e-10,-5.8468654649e-07,-2.8707631050e-09,-2.7622849040e-09,2.2835880582e-11,-9.9945597014e-10,6.6026744381e-10,-1.5592956989e-03,1.4393939394e+00
