z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.1062500000e+01,1.0511322081e-02,-4.5645682482e-02,2.8314334743e+02,3.5314908288e-04,2.2354084734e-03,-1.8656445279e-07,-2.8139351138e-05,2.8259304562e-07,6.8700520297e-08,-4.6794730257e-09,1.0150473432e-05,-1.1605168139e-04,-9.6642266795e-03,1.8437500000e-01
-1.1437500000e+01,9.6416096716e-03,-4.5095432950e-02,2.8314334273e+02,3.2975118004e-04,2.1840977125e-03,-1.7879120491e-07,-2.8433530366e-05,2.7754616877e-07,6.8242393902e-08,-4.0949623036e-09,9.0505522770e-06,-1.1222480684e-04,-9.6637217308e-03,1.9062500000e-01
-1.1812500000e+01,8.8017791973e-03,-4.4548902810e-02,2.8314333788e+02,3.0861701541e-04,2.1337392945e-03,-1.7158740917e-07,-2.8703400196e-05,2.7395910678e-07,6.7483433447e-08,-3.4434190376e-09,8.0581302426e-06,-1.0851076156e-04,-9.6631848679e-03,1.9687500000e-01
-1.2187500000e+01,7.9899581606e-03,-4.4007025752e-02,2.8314333291e+02,2.8948076395e-04,2.0843828837e-03,-1.6485082582e-07,-2.8949982199e-05,2.7042322076e-07,6.4834042460e-08,-3.4543637093e-09,7.1585174131e-06,-1.0490905756e-04,-9.6626232896e-03,2.0312500000e-01
-1.2562500000e+01,7.2042217805e-03,-4.3469681834e-02,2.8314332785e+02,2.7219958433e-04,2.0360298917e-03,-1.5854832978e-07,-2.9174229989e-05,2.6601314405e-07,6.2143543861e-08,-3.5272627799e-09,6.3412796156e-06,-1.0141879848e-04,-9.6620373700e-03,2.0937500000e-01
-1.2937500000e+01,6.4435776938e-03,-4.2937094318e-02,2.8314332268e+02,2.5665901306e-04,1.9886888416e-03,-1.5258292962e-07,-2.9378495132e-05,2.6162713873e-07,6.0000525557e-08,-2.9967274493e-09,5.5998516468e-06,-9.8038963929e-05,-9.6614251825e-03,2.1562500000e-01
-1.3312500000e+01,5.7079826600e-03,-4.2407838744e-02,2.8314331738e+02,2.4279148904e-04,1.9421960713e-03,-1.4694717827e-07,-2.9562186802e-05,2.5747483129e-07,5.8227782174e-08,-2.3488047120e-09,4.9282469767e-06,-9.4754959440e-05,-9.6607872457e-03,2.2187500000e-01
-1.3687500000e+01,4.9968425503e-03,-4.1883735337e-02,2.8314331198e+02,2.3045030021e-04,1.8966869543e-03,-1.4162284065e-07,-2.9726620159e-05,2.5303526712e-07,5.7651119807e-08,-1.9062068622e-09,4.3182908232e-06,-9.1574256793e-05,-9.6601275933e-03,2.2812500000e-01
-1.4062500000e+01,4.3076292798e-03,-4.1364079512e-02,2.8314330645e+02,2.1948801458e-04,1.8520595716e-03,-1.3650004215e-07,-2.9872050904e-05,2.4804692897e-07,5.7490916132e-08,-1.6272609916e-09,3.7608742580e-06,-8.8487136803e-05,-9.6594524021e-03,2.3437500000e-01
-1.4437500000e+01,3.6419213789e-03,-4.0848762906e-02,2.8314330083e+02,2.0984901873e-04,1.8082836007e-03,-1.3169008102e-07,-2.9999472680e-05,2.4328997829e-07,5.6770919719e-08,-1.5748708302e-09,3.2516836799e-06,-8.5490472733e-05,-9.6587681418e-03,2.4062500000e-01
