z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.1437500000e+01,4.1206724793e-05,1.0877844855e-04,2.8300544815e+02,5.2929381875e-05,5.2647238565e-05,-3.9476755497e-08,-8.7030239351e-08,1.0469732947e-07,1.0229126979e-07,-3.6559448274e-09,5.2031234812e-09,1.5224334689e-08,-2.5007093270e-04,1.9551282051e-01
-1.1812500000e+01,3.5337680476e-05,1.0592843085e-04,2.8300547715e+02,5.2687601414e-05,5.2402215752e-05,-3.9391246345e-08,-8.9031329849e-08,1.0372875209e-07,9.8945021722e-08,-3.3503361929e-09,4.1920788625e-09,1.4089341451e-08,-2.5108850789e-04,2.0192307692e-01
-1.2187500000e+01,2.9419500058e-05,1.0186988622e-04,2.8300550457e+02,5.2455259946e-05,5.2185348400e-05,-3.9271140780e-08,-9.1266685397e-08,1.0311420446e-07,9.5660747118e-08,-3.2491479850e-09,3.2596559553e-09,1.2781396369e-08,-2.5199995596e-04,2.0833333333e-01
-1.2562500000e+01,2.3290517370e-05,9.6653373229e-05,2.8300553089e+02,5.2233049431e-05,5.1999192428e-05,-3.9143024131e-08,-9.2979029514e-08,1.0213241878e-07,9.2874258096e-08,-2.8689734994e-09,2.2763740033e-09,1.1297473863e-08,-2.5281012987e-04,2.1474358974e-01
-1.2937500000e+01,1.7856242001e-05,9.0337661943e-05,2.8300555587e+02,5.2012410226e-05,5.1836390230e-05,-3.8985729619e-08,-9.3805958692e-08,1.0042074646e-07,9.0702430348e-08,-2.2082699792e-09,1.3517817600e-09,9.7947712226e-09,-2.5352429290e-04,2.2115384615e-01
-1.3312500000e+01,1.2636025960e-05,8.3129401827e-05,2.8300557973e+02,5.1793537478e-05,5.1685176308e-05,-3.8808180126e-08,-9.4093854503e-08,9.8110295214e-08,8.8349074399e-08,-1.6669040620e-09,3.6234533933e-10,8.3503479955e-09,-2.5414928569e-04,2.2756410256e-01
-1.3687500000e+01,7.6877638460e-06,7.5290137167e-05,2.8300560235e+02,5.1590637324e-05,5.1535777053e-05,-3.8630801690e-08,-9.3987987410e-08,9.6355399074e-08,8.5967540332e-08,-1.2441253651e-09,-6.1236784333e-10,6.9281331274e-09,-2.5468905294e-04,2.3397435897e-01
-1.4062500000e+01,2.8774387864e-06,6.7169037946e-05,2.8300562373e+02,5.1407398566e-05,5.1397230956e-05,-3.8447644396e-08,-9.3187818926e-08,9.5453145145e-08,8.4207310183e-08,-9.3088964851e-10,-1.4268163783e-09,5.6096367108e-09,-2.5514651701e-04,2.4038461538e-01
-1.4437500000e+01,-1.6752861749e-06,5.9230706766e-05,2.8300564397e+02,5.1237109734e-05,5.1268760200e-05,-3.8282483688e-08,-9.1907141543e-08,9.4208136834e-08,8.2807552236e-08,-9.8761487363e-10,-2.0100279393e-09,4.5211428307e-09,-2.5552838529e-04,2.4679487179e-01
-1.4812500000e+01,-5.9976070250e-06,5.1031028513e-05,2.8300566340e+02,5.1080761958e-05,5.1148921143e-05,-3.8114902433e-08,-8.9827194664e-08,9.2263103804e-08,8.1170665029e-08,-1.1894392296e-09,-2.4564451592e-09,3.4554325947e-09,-2.5584122418e-04,2.5320512821e-01
-1.5187500000e+01,-1.0328034617e-05,4.2641034393e-05,2.8300568164e+02,5.0936632678e-05,5.1025155902e-05,-3.7940084728e-08,-8.6733277438e-08,9.0283499170e-08,7.9717798865e-08,-1.0730353222e-09,-2.9949619060e-09,2.4357369932e-09,-2.5608692517e-04,2.5961538462e-01
-1.5562500000e+01,-1.4529843659e-05,3.3810918060e-05,2.8300569881e+02,5.0807693692e-05,5.0900901420e-05,-3.7765259909e-08,-8.3153352586e-08,8.9548831147e-08,7.8459646755e-08,-9.0842632085e-10,-3.6215925247e-09,1.3990512538e-09,-2.5626633999e-04,2.6602564103e-01
-1.5937500000e+01,-1.8813167643e-05,2.4628301014e-05,2.8300571532e+02,5.0693711440e-05,5.0775119847e-05,-3.7583983367e-08,-7.9345702510e-08,8.9283525300e-08,7.7436521543e-08,-1.0123537164e-09,-4.3358072922e-09,1.0847245009e-10,-2.5638359190e-04,2.7243589744e-01
-1.6312500000e+01,-2.3127182546e-05,1.5474427231e-05,2.8300573085e+02,5.0581971498e-05,5.0655634670e-05,-3.7400244734e-08,-7.5795510021e-08,8.8231827813e-08,7.7121138383e-08,-1.4876919580e-09,-5.0102126716e-09,-1.3296363060e-09,-2.5644294928e-04,2.7884615385e-01
-1.6687500000e+01,-2.7580156882e-05,7.0149963168e-06,2.8300574531e+02,5.0483377261e-05,5.0537440663e-05,-3.7217005200e-08,-7.2740364869e-08,8.6927448873e-08,7.7248524255e-08,-1.9879459669e-09,-5.7285902730e-09,-2.6097490074e-09,-2.5644742610e-04,2.8525641026e-01
-1.7062500000e+01,-3.1246806738e-05,-1.3745286205e-06,2.8300575916e+02,5.0399136894e-05,5.0422760218e-05,-3.7022432885e-08,-7.0267853241e-08,8.6308291667e-08,7.7278440221e-08,-2.2806191913e-09,-6.2419019470e-09,-3.7005061815e-09,-2.5640055385e-04,2.9166666667e-01
-1.7437500000e+01,-3.3834192892e-05,-9.7365412352e-06,2.8300577237e+02,5.0329539201e-05,5.0305991245e-05,-3.6835686763e-08,-6.8069951934e-08,8.6020415647e-08,7.7092594887e-08,-2.2967354480e-09,-6.4689525329e-09,-4.6083084919e-09,-2.5630607883e-04,2.9807692308e-01
-1.7812500000e+01,-3.5462296980e-05,-1.8210844530e-05,2.8300578480e+02,5.0270700508e-05,5.0183954908e-05,-3.6642975623e-08,-6.6001935633e-08,8.5303486160e-08,7.6293952450e-08,-2.0470340639e-09,-6.5060166167e-09,-5.5955100204e-09,-2.5616777286e-04,3.0448717949e-01
-1.8187500000e+01,-3.6505926530e-05,-2.6443827181e-05,2.8300579643e+02,5.0218697687e-05,5.0057611577e-05,-3.6462038311e-08,-6.3955670059e-08,8.5034774078e-08,7.4614150230e-08,-1.7687645313e-09,-6.4167498620e-09,-6.4768872489e-09,-2.5598750764e-04,3.1089743590e-01
